Event ID,Number Affected,Event Start Date,Event End Date,Counties (or equivalent),Species,Event Diagnosis
202687,37,10/4/2022,10/12/2022,"Aitkin County, MN",Canada Goose; Trumpeter Swan,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202649,2,8/22/2022,8/22/2022,"Dakota County, MN",Eastern Cottontail Rabbit,Undetermined
202639,10,8/25/2022,9/7/2022,"Wabasha County, MN",American White Pelican; Canada Goose,Undetermined
202504,32,7/18/2022,9/21/2022,"Marshall County, MN",American White Pelican; Blue-winged Teal; Ring-billed Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202434,13,6/26/2022,6/28/2022,"Olmsted County, MN",Big Brown Bat,Undetermined
202200,1,5/1/2022,5/1/2022,"St Louis County, MN",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202184,11,4/10/2022,4/26/2022,"Aitkin County, MN",Rock Dove; Unidentified Blackbird/Icterid; Ruffed Grouse; Cooper's Hawk,Blunt Trauma (not otherwise specified) suspect; Undetermined
202123,124,12/1/2021,12/1/2021,"Renville County, MN",House Sparrow; Northern Cardinal,Emaciation (not otherwise specified); Salmonellosis
202031,706,3/22/2022,4/28/2022,"Houston County, MN",Lesser Scaup; American Coot; Canada Goose; Bufflehead; Unidentified Gull; Trumpeter Swan; Great Horned Owl,Highly Pathogenic Avian Influenza (AI virus H5N1); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon); Trematodiasis (Sphaeridiotrema sp.)
202008,1,3/25/2022,3/25/2022,"Dakota County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202007,1,3/25/2022,3/25/2022,"Hennepin County, MN",Wood Duck,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201997,1,3/20/2022,3/20/2022,"Dakota County, MN",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201990,50,3/21/2022,3/28/2022,"Wilkin County, MN",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201940,1,3/25/2022,3/25/2022,"Blue Earth County, MN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201879,3,3/9/2022,3/16/2022,"Kandiyohi County, MN",Great Horned Owl; Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
201843,1,3/7/2022,3/7/2022,"Morrison County, MN",Barred Owl,Undetermined
201748,8,1/8/2022,2/7/2022,"Scott County, MN",Trumpeter Swan,Toxicosis (lead) suspect
201714,30,11/16/2021,11/16/2021,"Houston County, MN",American Coot; Unidentified Scaup,"Parasitism (Trematode, not otherwise specified) suspect"
201545,4,8/15/2021,10/31/2021,"Dakota County, MN",Gray Treefrog,Undetermined
201543,5,9/11/2021,9/29/2021,"Anoka County, MN",Blue Jay,Undetermined
201463,10,7/30/2021,7/31/2021,"Hennepin County, MN",Canada Goose,Drowning (not otherwise specified)
201450,28,7/22/2021,9/3/2021,"Hennepin County, MN",Mallard; Eastern Gray Squirrel; Great Blue Heron; Common Carp; Painted Turtle; Wood Duck,Botulism Type C
201310,1702,3/29/2021,5/5/2021,"Houston County, MN; La Crosse County, WI",American Coot; Unidentified Scaup; Northern Shoveler; Mallard,"Parasitism (Trematode, not otherwise specified) suspect"
201287,22,5/12/2021,5/14/2021,"Faribault County, MN",Canada Goose; Unidentified Passerine,Undetermined
201264,270,4/29/2021,5/5/2021,"Big Stone County, MN",Snapping Turtle; Painted Turtle,Undetermined
201078,210,1/10/2021,2/5/2021,"Scott County, MN",Crappie; Bluegill; Mallard; Trumpeter Swan; Canada Goose,Toxicosis (lead)
200878,2219,9/10/2020,11/12/2020,"La Crosse County, WI; Houston County, MN",American Coot; Unidentified Scaup; Blue-winged Teal; Mallard,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Sphaeridiotrema sp.)
200873,26,10/1/2020,10/2/2020,"Winona County, MN",Pine Siskin,Undetermined
200847,2500,9/26/2020,10/17/2020,"Wabasha County, MN",American Coot,Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon)
200693,470,7/15/2020,8/10/2020,"Beltrami County, MN",American White Pelican; Double-crested Cormorant,Emaciation (not otherwise specified); Salmonellosis; West Nile Virus
200639,48,6/29/2020,7/19/2020,"Douglas County, MN",Mudpuppy Salamander,Undetermined
200294,40,2/11/2020,2/11/2020,"Otter Tail County, MN",Big Brown Bat,Undetermined
200280,1,7/14/2019,7/14/2019,"Yellow Medicine County, MN",Bullsnake,Fungal Infection (integumentary)
200260,450,9/20/2019,11/5/2019,"Houston County, MN; La Crosse County, WI",American Coot; Lesser Scaup,Trematodiasis (Cyathocotyle bushiensis) suspect; Trematodiasis (Leyogonimus polyoon) suspect; Trematodiasis (Sphaeridiotrema globulus) suspect
200259,20,12/18/2019,12/27/2019,"Washington County, MN",Mallard,Trematodiasis (Sphaeridiotrema sp.)
